16
0	100	100
1	200	100
2	300	100
3	400	100
4	100	200
5	200	200
6	300	200
7	400	200
8	100	300
9	200	300
10	300	300
11	400	300
12	100	400
13	200	400
14	300	400
15	400	400
48
0	0	1
1	1	2
2	2	3
3	4	5
4	5	6
5	6	7
6	8	9
7	9	10
8	10	11
9	12	13
10	13	14
11	14	15
12	0	4
13	1	5
14	2	6
15	3	7
16	4	8
17	5	9
18	6	10
19	7	11
20	8	12
21	9	13
22	10	14
23	11	15
24	1	0
25	2	1
26	3	2
27	5	4
28	6	5
29	7	6
30	9	8
31	10	9
32	11	10
33	13	12
34	14	13
35	15	14
36	4	0
37	5	1
38	6	2
39	7	3
40	8	4
41	9	5
42	10	6
43	11	7
44	12	8
45	13	9
46	14	10
47	15	11

